2212 A, A
14555 ANAGNOSTOPOULOS, K
6174 ANAGNOSTOPOULOS, KN
46300 ANANDAM, P
5271 ANANDAN, J
25384 ANANDAN, JS
39389 ANANDARAO, BG
22294 ANAND, R
44200 ANANE, A
46984 ANANIKIAN, DN
4280 ANANIKIAN, NS
26831 ANANOS, GNJ
15164 ANANTHAKRISHNA, G
7141 ANANTHANARAYAN, B
30846 ANANTHARAMAIAH, KR
41087 ANANTH, AV
28095 ANANTRAM, MP
45362 ANASTASIADIS, A
46066 ANASTASIOU, C
28024 ANASTASOV, A
5679 ANASTOPOULOS, C
10164 ANAZAWA, M
27444 ANCHISHKIN, D
8792 ANCHISHKIN, DV
5580 ANCHORDOQUI, L
5577 ANCHORDOQUI, LA
31375 ANCILOTTO, F
40307 ANCKER, MEVD
17264 ANCOCHEA, B
47575 ANCONA, V
14626 ANDA, E
4735 ANDA, EV
47531 ANDAI, A
23914 AND, AP
31387 AND, AS
6912 AND, CADR
43005 AND, CC
35347 AND, CS
15365 ANDELMAN, D
5246 AND, EM
37634 ANDERLIK, C
1083 ANDERNACH, H
1233 ANDERNACH, HJ
37825 ANDERSEN, A
22413 ANDERSEN, AC
2803 ANDERSENA, OK
43113 ANDERSEN, BML
30944 ANDERSEN, DR
26990 ANDERSEN, E
2771 ANDERSEN, HC
37436 ANDERSEN, JE
6643 ANDERSEN, JO
46151 ANDERSEN, JR
4515 ANDERSEN, JV
51049 ANDERSEN, KH
28929 ANDERSEN, M
21979 ANDERSEN, MI
23087 ANDERSEN, NH
4361 ANDERSEN, OK
44167 ANDERSEN, T
12415 ANDERSEN, V
5878 ANDERSEN, W
15465 ANDERS, F
2880 ANDERS, FB
5201 ANDERSON, A
42986 ANDERSON, AC
38966 ANDERSON, BBSF
43140 ANDERSON, BP
28732 ANDERSON, CM
44193 ANDERSON, D
48588 ANDERSON, DZ
34340 ANDERSON, E
50665 ANDERSON, EH
24290 ANDERSON, FG
8398 ANDERSON, G
17348 ANDERSON, GW
18329 ANDERSON, IM
22056 ANDERSON, J
2124 ANDERSON, JD
25283 ANDERSON, JL
36776 ANDERSON, JW
16901 ANDERSON, KD
29848 ANDERSON, KSJ
47709 ANDERSON, L
25957 ANDERSON, M
38045 ANDERSON, MH
47808 ANDERSON, MT
5308 ANDERSON, PR
3877 ANDERSON, PW
22046 ANDERSON, RF
28823 ANDERSON, SB
13182 ANDERSON, SF
9493 ANDERSON, WG
30544 ANDERS, S
25773 ANDERSSON, B
38771 ANDERSSON, E
34658 ANDERSSON, F
50394 ANDERSSON, K
16457 ANDERSSON, L
33335 ANDERSSON, M
5217 ANDERSSON, N
43710 ANDERSSON, PH
21547 ANDES, MHISDDL
13700 AND, GAL
9666 AND, HS
38261 ANDION, NP
33937 AND, JB
47730 ANDJEL, ED
28986 AND, JM
6707 AND, JR
19414 AND, KS
47096 ANDLER, M
39343 AND, LT
25421 AND, MA
15255 ANDO, M
25996 ANDO, S
24426 ANDO, Y
48825 ANDRADE, A
30745 ANDRADE, LCGD
8894 ANDRADE, MAD
31405 ANDRADE, MCD
44062 ANDRADE, SCBD
25132 ANDRADE, VCD
16496 ANDRADE, Z
27978 ANDRAE, HJ
32052 ANDRAKA, B
46697 ANDRASI, A
15749 ANDRAUD, C
5733 AND, RB
12113 AND, RD
30 ANDREANI, P
17883 ANDREAS, B
34741 ANDREASSON, H
49230 ANDREATA, MA
36905 ANDREATTA, M
37371 ANDRE, CAM
41006 ANDREDAKIS, Y
22450 ANDREDAKIS, YC
24475 ANDREEV, A
17481 ANDREEVA, E
3328 ANDREEV, AV
52182 ANDREEV, F
6526 ANDREEV, IV
9640 ANDREEV, O
8680 ANDREEV, VV
43917 ANDREICA, D
22993 ANDREI, EY
35618 ANDREI, K
3008 ANDREI, N
25869 ANDRE, J
42353 ANDRENACCI, N
2153 ANDREON, S
37698 ANDREOZZI, F
19728 ANDRE, P
40061 ANDRES, E
42277 ANDRES, H
19154 ANDRES, MV
38122 ANDRES, P
24463 ANDRES, PLD
35556 ANDRE, T
18810 ANDRETTA, A
29542 ANDREUZZI, G
36924 ANDREWS, GE
24804 ANDREWS, MR
40386 ANDREWS, P
17960 ANDRIANOPOLI, L
48955 ANDRIANOV, A
8778 ANDRIANOV, AA
8779 ANDRIANOV, VA
10104 ANDRIC, I
14696 ANDRIENKO, YA
38795 ANDRIES, J
31964 ANDRIEU, S
51981 ANDRIEVSKII, VV
29407 ANDRIEVSKY, SM
11208 ANDRIGHETTO, A
35307 ANDRINGA, S
25466 ANDRONICO, G
30466 ANDRONOV, N
18705 ANDROULAKIS, G
45123 ANDROUTSOPOULOS, I
47691 ANDRUCHOW, E
39612 ANDRUCHOW, I
36284 ANDRUSKIEWITSCH, N
33719 ANDRYUSHECHKIN, BV
5582 AND, SPB
37588 AND, U
5975 AND, UMHFK
27387 AND, WHD
10776 ANELLI, S
49553 ANEZ, N
52724 ANFEROV, VA
39750 ANFIMOV, DS
38250 ANFINOGENTOV, VG
49160 ANGELAKIS, DG
31641 ANGELANI, L
13 ANGELANTONJ, C
31325 ANGELESCU, DE
47402 ANGELI, D
13643 ANGELINI, L
46084 ANGELIS, ALS
49093 ANGELIS, ED
24217 ANGELIS, GFD
13159 ANGEL, JRP
15630 ANGELL, CA
35838 ANGELOPOULOS, E
28141 ANGELOW, A
49011 ANGELOW, ABA
21346 ANGEL, R
15437 ANGELUCCI, A
41812 ANGERMAN, HJ
43825 ANGEWANDTE, VTDSIF
50471 ANGHEL, M
18938 ANGHINOLFI, M
4866 ANGILELLA, GGN
3461 ANGLARET, E
5612 ANGLIN, J
11837 ANGLIN, JR
49518 ANGUELOV, V
18964 ANGUIANO, M
45290 ANGUIGE, K
51420 ANGULO, ME
35466 ANH, NT
19616 ANHUT, T
45906 ANIKIN, IV
34678 ANILE, AM
9099 ANISHETTY, R
35373 ANISIMOV, A
24698 ANISIMOVAS, E
35647 ANISIMOV, AY
33413 ANISIMOV, MA
31349 ANISIMOV, V
4049 ANISIMOV, VI
16776 ANISOVICH, AV
7329 ANISOVICH, V
8644 ANISOVICH, VV
25615 ANJOS, JC
25618 ANJOS, JD
48200 ANKENBRANDT, CM
11710 ANKERHOLD, J
24925 ANLAGE, SM
7600 ANLAUF, H
2220 ANNAN, JD
14210 ANNETT, J
24058 ANNETT, JF
39785 ANN, HB
34418 ANNINOS, A
1827 ANNINOS, P
11162 ANNI, R
20905 ANNIS, J
31126 ANNIS, JA
39313 ANNU, B
43788 ANNUNZIATO, M
23306 ANOKHIN, AO
8952 ANO, N
22323 ANOUSHIRVANI, B
21891 ANRAKU, K
27855 ANSALONI, R
11299 ANSARI, A
498 ANSARI, R
17088 ANSELM, A
17315 ANSELM, AA
9608 ANSELMI, D
6563 ANSELMINO, M
51834 ANSELMO, F
43933 ANSERMET, JP
37216 ANSHELEVICH, M
10443 ANSOLDI, S
45467 ANSORG, M
25539 AN, T
43879 ANTA, JA
4443 ANTAL, T
31738 ANTENEODO, C
48387 ANTHONY, P
8844 ANTHONY, PL
21589 ANTHONYTWAROG, BJ
20165 ANTIA, HM
9802 ANTILLON, A
29530 ANTIOCHOS, SK
39078 ANTIPOVA, J
25159 ANTOCI, S
28259 ANTOINE, P
38993 ANTOKHIN, II
2952 ANTONELLI, A
20690 ANTONELLI, LA
46005 ANTONELLI, M
8658 ANTONELLI, V
29003 ANTONELLO, E
40083 ANTONELLO, GTLPE
24545 ANTONENKO, NV
31803 ANTONENKO, SA
9588 ANTONIADIS, I
24598 ANTONI, M
25827 ANTONIOLI, P
8049 ANTONIO, R
51302 ANTONIOU, G
19477 ANTONIOU, I
38860 ANTONIOU, N
35482 ANTONIOU, NG
49681 ANTONI, T
4796 ANTON, L
17993 ANTONOV, A
11394 ANTONOV, AN
9073 ANTONOV, AV
35843 ANTONOV, D
8080 ANTONOV, DV
7265 ANTONOV, EN
52288 ANTONOV, NV
43578 ANTONOV, RD
31771 ANTONOV, VN
23523 ANTONOYIANNAKIS, MI
18363 ANTONSEN, F
49538 ANTONUCCI, E
1481 ANTONUCCIODELOGU, V
5962 ANTONUCCIO, F
46619 ANTONUCCIO, SCF
13439 ANTONUCCI, R
40772 ANTONUCCI, RRJ
32228 ANTORANZ, C
32415 ANTORANZ, JC
17478 ANTUNES, ACB
17479 ANTUNES, LJ
17209 ANTUNES, ND
35205 ANTUNOVICH, Z
4780 ANTWERP, UO
13147 ANUPAMA, GC
15240 ANUSOOYA, Y
15084 ANZAI, H
33729 ANZAI, S
29509 ANZER, U
40641 A, O
640 AO, CO
25495 AOKI, CCS
45566 AOKI, CS
3896 AOKI, H
16696 AOKI, JCS
9928 AOKI, K
17760 AOKI, M
6074 AOKI, S
44450 AOKI, T
16667 AOKI, Y
32878 AONISHI, T
3088 AO, P
19320 AOUAD, NE
19003 AOUISSAT, Z
32132 AOYAGI, T
23121 AOYAGI, Y
10107 AOYAMA, H
9813 AOYAMA, S
16697 AOYAMA, T
32315 APALKOV, VM
35357 APANASEVICH, L
18691 APANASOV, B
864 APARICIO, A
49545 APARICIO, GPA
20037 APARICIO, J
11668 APARICIO, JP
26551 A, PDT
50336 APELL, SP
44383 APEL, VM
4273 APEL, W
49682 APEL, WD
38483 APENKO, SM
51906 APFELDORF, KM
18461 APIKYAN, S
18237 APIKYAN, SA
52111 APKARIAN, AV
24609 APLICADA, LRDDF
48483 APOLONSKY, AA
42038 APONTE, E
17054 APOSTOLAKIS, D
45265 APOSTOLATOS, TA
14513 APOSTOL, M
34699 APOSTOLOPOULOS, PS
47726 APOSTOLOV, V
33495 APOSTU, M
38703 APPELBAUM, I
48027 APPEL, C
31850 APPEL, J
44307 APPELL, J
6933 APPELQUIST, T
29131 APPENZELLER, I
51020 APPENZELLER, J
51120 APPERT, C
47215 APPLEBOIM, E
38493 APPLEBY, DM
21288 APPLEGATE, JH
30597 APPLETON, CCPN
2051 APPLETON, PN
32458 APPLEYARD, NJ
14136 APPL, S
12370 APPODIA, B
21788 APPOURCHAUX, T
9116 APPS, JS
30656 APPS, K
41461 APPS, SSVGWMRPBK
15307 APRELEV, AM
39171 APRILE, E
43923 APRILI, M
47518 APRODU, M
50105 A, PS
20477 APTEKAR, R
39210 APTEKAR, RL
10791 APTER, A
36954 APTER, AW
34289 APT, KR
41716 APUNEVYCH, S
45364 AQUINO, FD
8654 AQUINO, VM
29807 ARABADJIS, JS
52323 ARAD, I
42863 ARADIAN, A
38175 ARAD, R
17423 ARAFUNE, J
18540 ARAGONE, C
1221 ARAGONSALAMANCA, A
18988 ARAI, K
18507 ARAI, M
36610 ARAI, N
37191 ARAI, T
18413 ARAKANE, Y
36931 ARAKAWA, T
6972 ARAKELYAN, GH
46383 ARAKELYAN, SA
16714 ARAKI, F
17944 ARAKI, M
35412 ARANDA, A
43355 ARANDAESPINOZA, H
51626 ARANDA, JI
31885 ARANSON, I
32307 ARANSON, IS
47216 ARA, P
42272 ARAPOV, YG
46951 ARAPURA, D
6123 ARASAKI, N
45833 ARASH, F
8913 ARATYN, H
42780 ARAUJO, AEPD
26719 ARAUJO, CFD
41647 ARAUJO, FXD
380 ARAUJO, JCND
43344 ARAUJO, JMD
39708 ARAUJO, M
24004 ARAUJO, MAN
25358 ARAUJO, ME
43864 ARAUJOMOREIRA, FM
35248 ARAUJO, WRBD
28334 ARAV, N
41598 ARAYAGOCHEZ, RA
12892 ARAYA, RA
30571 ARBAB, AI
36340 ARBARELLO, E
39427 ARBER, TD
17339 ARBEX, N
39590 ARBIZZANI, E
38626 ARBO, DG
25345 ARBONA, A
7926 ARBUZOV, A
8502 ARBUZOV, AB
16976 ARBUZOV, BA
35159 ARBUZOV, HAAB
22944 ARCANGELI, C
50640 ARCANGELIS, LD
28945 ARCE, HG
21762 ARCETRI, IOAD
21591 ARCHIBALD, E
30584 ARCHIBALD, EN
43708 ARCHUBI, CD
35876 ARCIONI, G
9735 ARDALAN, F
830 ARDAVAN, H
11743 ARDEHALI, M
25433 ARDEKANI, A
52423 ARDELEA, A
33324 ARDELEAN, G
21189 ARDELJAN, NV
20556 ARDI, E
50102 ARDILA, DR
33760 ARDONNE, E
25850 ARDOUIN, D
43803 ARECCHI, FT
18525 AREFEVA, I
9225 AREFEVA, IY
38362 AREFIEV, A
19054 ARELLANO, HF
52587 ARELLANO, JS
4529 ARENAS, A
37233 ARENAS, FG
28449 ARENDT, PN
29496 ARENDT, RG
19073 ARENHOEVEL, H
21024 ARENOU, F
2145 ARENS, JF
49298 ARENS, R
51366 ARENS, RG
17238 ARENS, T
49657 ARENTOFT, T
15115 ARENZON, JJ
10713 ARESGASTESI, P
35558 ARESTOV, Y
29380 ARET, A
1077 ARETXAGA, I
17856 ARFAEI, H
2989 ARGAMAN, N
34096 ARGAMONENGELSON, S
41280 ARGAST, D
47707 ARGERAMI, M
48228 ARGOUL, F
39102 ARGUESO, F
41693 ARGUESO, JMDF
17859 ARGURIO, R
51001 ARGYRAKIS, P
8057 ARGYRES, EN
9757 ARGYRES, PC
24960 ARGYRIOU, DN
11011 ARGYROS, SA
8883 ARHRIB, A
24180 ARIALDI, G
27044 ARIAS, A
10321 ARIASA, PJ
19396 ARIAS, JM
18221 ARIAS, PJ
24740 ARIAS, R
32835 ARIAS, SDT
32138 ARIAS, T
32221 ARIAS, TA
42373 ARIEL, G
14496 ARIKABE, Y
23012 ARIKAWA, M
41576 ARIKAWA, Y
47370 ARIKI, S
10316 ARIK, M
11115 ARIMA, A
27521 ARIMA, M
35943 ARIMITSU, T
19371 ARIMONDO, E
1602 ARIMOTO, N
35996 ARINGAZIN, AK
36009 ARINGAZIN, KM
37310 ARINKIN, D
15352 ARIOSA, D
30764 ARISTE, AL
50828 ARISTONE, F
3269 ARISTOV, DN
23254 ARISUE, H
11240 ARITA, K
15725 ARITA, R
48003 ARITOMO, Y
33290 ARIZMENDI, CM
31059 ARIZONA, UO
2862 ARJUNWADKAR, M
8311 ARKANIHAMED, N
46172 ARKHIPOV, AA
29011 ARKHIPOVA, NA
47193 ARKHIPOV, S
36007 ARKHIPOV, VV
42436 ARKO, AJ
30387 ARLANDINI, C
46028 ARLEO, F
51315 ARLOCOSTA, H
44494 ARLT, J
2223 ARMANDROFF, T
13604 ARMANDROFF, TE
10185 ARMANDUGON, D
27239 ARMBRUSTER, P
46444 ARMENDARIZPICON, C
7818 ARMESTO, N
45511 ARMINJON, M
406 ARMITAGE, PJ
52875 ARMITAGE, V
10162 ARMONI, A
40485 ARMOUR, M
47728 ARMSTRONG, J
40275 ARMSTRONG, M
29168 ARMSTRONG, P
2149 ARMUS, L
21852 ARNABOLDI, M
52115 ARNAL, D
44583 ARNAUD, B
28586 ARNAUD, KA
1174 ARNAUD, M
34731 ARNAUD, N
27940 ARNAUDON, D
12033 ARNAU, JV
45911 ARNDT, D
37767 ARNDT, MSPRA
2638 ARNDT, PF
27355 ARNDT, R
11168 ARNDT, RA
38942 ARNDT, S
15190 ARNEODO, A
17612 ARNEODO, M
19988 ARNETT, D
48665 ARNHOLD, J
25284 ARNOLD, DN
32232 ARNOLD, G
23789 ARNOLD, GB
20314 ARNOLD, JM
8302 ARNOLD, P
26878 ARNONE, S
2405 ARNOULD, M
20662 ARNOUTS, S
6371 ARNOWITT, R
34725 ARNSDORF, M
44928 ARNVIG, KB
10121 AROCA, JM
38093 ARODZERO, A
8988 ARODZ, H
2717 ARONOV, AG
3914 ARONOV, IE
47254 ARON, RM
13442 ARONS, J
44919 ARONSON, MC
42198 ARORA, BM
45446 AROS, R
25366 AROS, RM
15092 AROUH, SL
15253 AROVAS, D
2839 AROVAS, DP
22345 ARP, H
40603 ARQUEROS, F
4532 ARRACHEA, L
29740 ARRAS, P
19608 ARRATIA, O
43706 ARRAYAS, M
45354 ARREAGA, G
11335 ARRIAGA, A
32572 ARRIAGA, J
30902 ARRIBAS, S
39743 ARRIETA, A
41508 ARRIGHI, H
2833 ARRIGONI, E
11071 ARRIOLA, ER
36195 ARRONDO, E
6041 ARROYO, AG
48043 ARRUDANETO, JDT
42790 ARSEEV, PI
19725 ARSENAULT, R
6177 ARSENIN, I
24955 ARSENOV, AA
34077 ARSEYEV, PI
39869 ARSHAKIAN, TG
51948 ARSIE, A
31130 A, RSS
3653 ARTACHO, E
37086 ARTALBARTOLO, E
33559 ARTAMONOV, SA
8718 ARTEAGA, N
25573 ARTEAGAROMERO, N
22604 ARTEMENKO, SN
1079 ARTEMOVA, IV
11771 ARTEMYEV, AN
9321 ARTHUR, K
20395 ARTHUR, SJ
38984 ARTIGAU, E
49454 ARTIN, JMM
15020 ART, OG
48244 ARTONI, M
51355 ARTOSI, A
7393 ARTRU, X
49652 ARTS, J
41438 ARTUSA, R
35620 ARTUSO, M
41140 ARTYMOWICZ, P
41551 ARTZNER, G
9641 ARTZ, S
49425 ARUGA, Y
42192 ARULRAJ, A
45776 ARUNAGIRI, S
51210 ARUNA, SA
27548 ARUTUNIAN, SG
36023 ARUTYUNOV, G
10456 ARUTYUNOV, GE
6931 ARVANITIS, C
37011 ARVESON, W
11747 ARVIEU, R
51748 ARVIEUX, MPRETJ
22698 ARYASETIAWAN, F
52205 ARZHANTSEV, IV
50743 ARZHNIKOV, AK
51095 ARZI, T
12793 ARZOUMANIAN, Z
50508 ARZUMANYAN, SR
2211 A, S
41098 A, SA
13830 ASADA, H
36372 ASAEDA, M
27246 ASAGA, T
20368 ASAI, K
38300 ASAI, M
16853 ASAI, S
44791 ASAI, T
18215 ASAI, Y
7748 ASAKA, T
34997 ASAKAWA, E
8353 ASAKAWA, M
8583 ASAKAWA, T
47376 ASAKURA, M
13244 ASANO, K
10141 ASANO, M
44436 ASANO, T
43882 ASANO, Y
20575 ASAOKA, I
40207 ASAOKA, Y
18317 ASATANI, T
17033 ASATRIAN, H
8294 ASATRIAN, HM
45926 ASATRYAN, HH
31502 ASAYAMA, K
39935 ASCASIBAR, Y
5463 ASCHAN, PK
31477 ASCHAUER, H
37846 ASCHENAUER, EC
529 ASCHENBACH, B
26597 ASCHIERI, P
24528 ASCH, J
13191 ASCHWANDEN, MJ
52777 A, SD
33662 A, SE
33605 ASENSIO, MC
41423 ASGEKAR, A
18853 ASH, A
18578 ASHBOURNCHAMBLIN, JMA
29679 ASHBY, MLN
23082 ASHCROFT, NW
24404 ASHENFORD, DE
8585 ASHERY, D
50704 ASHIDA, M
28126 ASHIKHMIN, A
22931 ASHKENAZI, J
14315 ASHKENAZY, Y
22254 ASHLEY, M
21670 ASHLEY, MCB
637 ASHMAN, KM
22183 ASHOKA, BN
14309 ASHOORI, RC
5303 ASHTEKAR, A
10471 ASHWORTH, MC
34675 ASHWORTH, SMMC
2560 A, SI
40695 ASIAIN, R
40511 ASIDA, SM
42000 ASIPAUSKAS, ASM
47035 ASKITAS, N
41810 ASLANGUL, C
37225 ASLANYAN, A
5589 ASLANYAN, AM
48285 ASLANYAN, HA
10724 ASMAR, N
2126 ASMAR, SW
52652 ASNANI, GC
45887 ASNER, DM
9130 ASOREY, M
52642 ASO, T
41577 ASO, Y
38587 ASPECT, A
23760 ASPELMEIER, T
40304 ASPHAUG, E
29707 ASPIN, C
9528 ASPINWALL, PS
20208 ASPLUND, M
34950 ASPROULI, M
10356 ASQUITH, B
4251 ASSAAD, FF
51623 ASSAMAGAN, KA
42159 ASSARAF, R
10787 ASSCHE, WV
48717 ASSEEV, A
33142 ASSELAH, A
4173 ASSELMEYER, T
46780 ASSI, A
24918 ASSMUS, W
40757 ASSOUAD, P
17589 ASTAKHOV, VA
43192 ASTALOS, RJ
10507 ASTASHKEVICH, A
37498 ASTASHKIN, SV
18380 ASTE, A
45262 ASTEFANESEI, D
15975 ASTE, T
48890 ASTIER, P
49975 ASTONE, P
42816 ASTRAKHARCHIK, GE
467 ASTROFISICA, IND
28758 ASTROFISICA, VVT
21778 ASTRONOMY, D
19999 ASTRONOMY, GDF
29075 ASTRONOMY, GTII
20754 ASTRONOMY, IO
19961 ASTRONOMY, PMSDO
31056 ASTRONOMY, RFDO
31061 ASTROPHYSICA, ID
12301 ASTROPHYSIK, IFAU
161 ASTROPHYSIK, MIF
19998 ASTROPHYSIK, MSMF
20571 ASTROPHYSIK, UKMF
6638 A, SV
49584 ASVAROV, AI
49703 A, T
46311 ATAG, S
11458 ATALMI, A
17266 ATANCE, M
29536 ATANIA, MG
37189 ATAR, R
47933 ATASHBARTEHRANI, S
25342 ATASOY, E
10838 ATELA, P
26904 ATHANASIADIS, CA
10333 ATHANASIU, GG
28379 ATHANASOPOULOS, A
12289 ATHANASSOULA, E
51675 ATHAN, T
6434 ATHAR, H
15285 ATHAS, GJ
40949 ATHREYA, R
46974 ATHREYA, S
27572 ATIPO, A
47756 ATIQUE, RW
38360 ATIYA, SFTM
26370 ATKINSON, D
46894 ATKINSON, PA
34341 ATKINSON, R
14673 ATKINSON, W
3789 ATKINSON, WA
40162 ATKINS, R
41685 ATKINS, TMCR
18573 ATOMIC, HT
20680 ATOYAN, AM
14120 ATRIOBARANDELA, F
10515 ATTAL, R
50450 ATTANASIO, C
30366 ATTARD, A
22654 ATTARD, P
21455 ATTEIA, J
22222 ATTEIA, JL
2879 ATTIAS, H
11366 ATTI, CCD
39473 ATTRIDGE, JM
6919 ATWOOD, D
48386 ATWOOD, WB
44925 ATZKERN, S
10037 ATZMON, E
24453 AUBANSENZIER, P
44951 AUBERSON, G
15775 AUBIN, H
47244 AUBIN, J
33698 AUBIN, M
43616 AUBIN, S
33118 AUBIN, SMJ
14004 AUBOURG, E
26487 AUBRECHT, G
24850 AUBRY, S
3123 AU, C
41549 AUCHERE, F
48613 AUCHINCLOSS, P
19490 AU, CK
27111 AUCKLY, D
19740 AUDANO, R
22425 AUDARD, N
22797 AUDET, JF
13508 AUDIT, E
1704 AUDOUZE, J
5275 AUDRETSCH, J
2814 AUERBACH, A
18912 AUERBACH, N
33641 AUER, J
36388 AUER, R
28581 AUFDENBERG, JP
5400 AU, G
19890 AUGARDE, R
40216 AUGEREAU, JC
23150 AUGIER, D
42644 AUGUET, CE
13119 AUGUSTEIJN, T
41018 AUGUSTO, P
9461 AULAKH, CS
42420 AULBUR, WG
52636 AUNE, B
42573 AUNOLA, M
24797 AURELL, E
8152 AURENCHE, P
39284 AURICH, R
499 AURIERE, M
9133 AURILIA, A
42331 AUSLAENDER, OM
16008 AUSLENDER, M
33939 AUSLOOS, M
21062 AUSSEL, H
24177 AUSTING, DG
29339 AUSTIN, S
32872 AUTHOR, IS
36786 AU, TK
25606 AUTONOMA, U
15703 AUWEILER, T
47173 AUYANG, H
50318 AUYEUNG, WZSTC
48411 AUZINSH, M
561 A, V
45023 AVAILABLE, N
26146 AVAKIAN, HR
5375 AVAKIAN, RM
45979 AVAKIAN, RO
15492 AVAKYAN, A
32534 AVAKYAN, AK
7764 AVALIANI, I
4759 AVALOS, JB
18983 AVANCINI, SS
9784 AVAN, J
17660 AVDEEV, L
8889 AVDEEV, LV
51149 AVDJUKHINA, VM
50849 AVEIN, D
11995 AVELINO, P
21315 AVELINO, PP
23342 AVELLA, A
49926 AVE, M
20318 AVERA, E
50562 AVERBUCH, A
16716 AVERCHENKOVA, LA
3678 AVERIN, D
4846 AVERIN, DV
42728 AVERKIEV, NS
23878 AVEROUS, M
38916 AVERY, LW
42641 AVETISOV, VA
49343 AVETISSIAN, HK
21275 AVIGNONE, FT
4504 AVIGNON, M
2960 AVIGUR, R
33604 AVILA, J
26186 AVILA, M
43270 AVILA, MA
13576 AVILAREESE, V
21698 AVILES, R
38878 AVILLEZ, MAD
42913 AVILOV, VV
3193 AVISHAI, Y
14685 AVNIR, D
32990 AVOURIS, P
10566 AVRAM, AC
8928 AVRAMIDI, IG
37605 AVRIGEANU, M
37606 AVRIGEANU, V
2866 AVRON, JE
21396 AVRUCH, IM
1122 A, W
46627 AWAD, AM
9604 AWADA, M
23465 AWAKA, K
13539 AWAKI, H
9345 AWATA, H
44425 AWAZU, A
25723 AWES, TC
45753 AW, M
23425 A, WN
27007 AWODEY, S
42440 AWSCHALOM, DD
15294 AXE, JD
10583 AXELROD, S
29035 AXELROD, T
207 AXELROD, TS
8473 AXENIDES, M
30358 AXFORD, WI
49112 AX, J
36934 AXLER, S
28350 AXON, D
2039 AXON, DJ
6496 AYALA, A
7953 AYALA, AL
43852 AYALA, AP
25154 AYAL, S
6270 AYDIN, M
51613 AYDIN, ZZ
26742 A, YE
11066 AYIK, S
45508 AYONBEATO, E
25167 AYON, E
41974 AYSAL, E
3740 AYTON, G
27753 AYUELA, A
48913 AYUEL, K
30402 AYVAZYAN, VT
32206 AYYUB, P
24547 AYYUB, RLP
52055 AZAGRA, D
42345 AZAKOV, S
4340 AZARIA, P
10007 AZCARRAGA, JAD
2939 AZCOITI, V
10093 AZHARI, A
17720 AZIMOV, Y
8671 AZIMOV, YI
26259 AZI, O
32105 AZIZ, MJ
1121 A, ZJ
17416 AZNAURYAN, IG
5692 AZREGAINOU, M
24171 AZSANCHEZ, AD
16855 AZUELOS, G
51227 AZUHATA, H
38755 AZUMA, H
23665 AZUMA, M
32899 AZUMA, R
34808 AZUSA, Y
3043 AZZOUZ, M
7169 BAACKE, J
36572 BAAJ, S
43439 BAAKE, E
14677 BAAKE, M
6091 BAAL, PV
10538 BAAQUIE, BE
3715 BAAR, DJ
30219 BAAS, F
44566 BAAS, J
11652 BAAZ, M
31969 BABAEV, E
15734 BABAEV, ES
45324 BABAK, SV
24500 BABALIEVSKI, F
26594 BABANSKY, AY
19366 BABB, JF
9785 BABELON, O
48250 BABEL, T
37227 BABENKO, IK
44172 BABERSCHKE, K
24851 BABERSKI, O
50723 BABIC, D
34212 BABIC, G
6418 BABICH, AA
42925 BABICHENKO, VS
41625 BABICHEV, E
34683 BABICH, MV
38075 BABINEC, P
27782 BABIN, SA
32418 BABIN, VV
26057 BABOUKHADIA, LR
16415 BABOUROVA, OV
51340 BABOVICH, Y
26967 BABSON, E
28606 BABU, GJ
18521 BABUJIAN, H
46250 BABUKHADIA, L
35629 BABUKHADIA, LR
1482 BABU, KS
1486 BABUL, A
16499 BABUSCI, D
32259 BABUSHKINA, NA
26203 BABUTSIDZE, T
52482 BACA, A
46319 BACCHETTA, A
34149 BACCHUS, F
28280 BACCIAGALUPPI, G
21956 BACCI, C
991 BACCIGALUPI, C
44535 BACCI, S
33187 BACCI, SB
46069 BACHACOU, H
8387 BACHAS, C
6399 BACHAS, CP
48300 BACHAU, H
31229 BACHELET, GB
37836 BACHER, AD
39889 BACHEV, R
20099 BACHILLER, R
27828 BACHIRI, H
36739 BACHMAN, D
41848 BACHMAN, HN
31679 BACHMANN, L
38842 BACHMANN, M
38709 BACHOR, HA
31483 BACHTELER, J
42782 BACHTOLD, A
42006 BACHTOLD, W
38099 BACKE, H
28505 BACKER, DC
32587 BACKHAUS, M
22290 BACKMAN, DE
13471 BACKUS, PR
22809 BACKX, G
12304 BACON, D
30609 BACON, R
52722 BACRI, J
48673 BACRI, JC
807 BACTIVELANE, GRL
11755 BACUS, B
46442 BADAGNANI, D
25426 BADALIAN, AM
25748 BADALIAN, RG
32731 BADALYAN, SM
47557 BADDELEY, A
36823 BADEA, C
16993 BADELEK, B
1132 BADE, N
24388 BADER, J
48591 BADER, JS
24964 BADER, SD
41154 BADIA, F
40987 BADIALI, M
52469 BADIMON, C
27807 BADIRKHAN, Z
39384 BADNELL, NR
33164 BADRAN, E
22555 BADRAN, HM
15638 BADRINARAYANAN, R
14256 BADRO, J
49342 BADUREK, G
49403 BADZIAG, P
37847 BAEHR, J
15323 BAEHR, M
16728 BAEKER, M
17225 BAEK, MS
17374 BAEK, S
8542 BAEK, SW
32012 BAEL, MJV
41811 BAELUS, BJ
8484 BAE, M
36168 BAER, C
7073 BAER, H
14563 BAERISWYL, D
3969 BAER, M
